304	325	324
324	325	345
324	345	344
344	345	365
344	365	364
364	365	385
364	385	384
384	385	405
384	405	404
5	6	26
5	26	25
25	26	46
25	46	45
45	46	66
45	66	65
65	66	86
65	86	85
85	86	106
85	106	105
105	106	126
105	126	125
125	126	146
125	146	145
145	146	166
145	166	165
165	166	186
165	186	185
185	186	206
185	206	205
205	206	226
205	226	225
225	226	246
225	246	245
245	246	266
245	266	265
265	266	286
265	286	285
285	286	306
285	306	305
305	306	326
305	326	325
325	326	346
325	346	345
345	346	366
345	366	365
365	366	386
365	386	385
385	386	406
385	406	405
6	7	27
6	27	26
26	27	47
26	47	46
46	47	67
46	67	66
66	67	87
66	87	86
86	87	107
86	107	106
106	107	127
106	127	126
126	127	147
126	147	146
146	147	167
146	167	166
166	167	187
166	187	186
186	187	207
186	207	206
206	207	227
206	227	226
226	227	247
226	247	246
246	247	267
246	267	266
266	267	287
266	287	286
286	287	307
286	307	306
306	307	327
306	327	326
326	327	347
326	347	346
346	347	367
346	367	366
366	367	387
366	387	386
386	387	407
386	407	406
7	8	28
7	28	27
27	28	48
27	48	47
47	48	68
47	68	67
67	68	88
67	88	87
87	88	108
87	108	107
107	108	128
107	128	127
127	128	148
127	148	147
147	148	168
147	168	167
167	168	188
167	188	187
187	188	208
187	208	207
207	208	228
207	228	227
227	228	248
227	248	247
247	248	268
247	268	267
267	268	288
267	288	287
287	288	308
287	308	307
307	308	328
307	328	327
327	328	348
327	348	347
347	348	368
347	368	367
367	368	388
367	388	387
387	388	408
387	408	407
8	9	29
8	29	28
28	29	49
28	49	48
48	49	69
48	69	68
68	69	89
68	89	88
88	89	109
88	109	108
108	109	129
108	129	128
128	129	149
128	149	148
148	149	169
148	169	168
168	169	189
168	189	188
188	189	209
188	209	208
208	209	229
208	229	228
228	229	249
228	249	248
248	249	269
248	269	268
268	269	289
268	289	288
288	289	309
288	309	308
308	309	329
308	329	328
328	329	349
328	349	348
348	349	369
348	369	368
368	369	389
368	389	388
388	389	409
388	409	408
9	10	30
9	30	29
29	30	50
29	50	49
49	50	70
49	70	69
69	70	90
69	90	89
89	90	110
89	110	109
109	110	130
109	130	129
129	130	150
129	150	149
149	150	170
149	170	169
169	170	190
169	190	189
189	190	210
189	210	209
209	210	230
209	230	229
229	230	250
229	250	249
249	250	270
249	270	269
269	270	290
269	290	289
289	290	310
289	310	309
309	310	330
309	330	329
329	330	350
329	350	349
349	350	370
349	370	369
369	370	390
369	390	389
389	390	410
389	410	409
10	11	31
10	31	30
30	31	51
30	51	50
50	51	71
50	71	70
70	71	91
70	91	90
90	91	111
90	111	110
110	111	131
110	131	130
130	131	151
130	151	150
150	151	171
150	171	170
170	171	191
170	191	190
190	191	211
190	211	210
210	211	231
210	231	230
230	231	251
230	251	250
250	251	271
250	271	270
270	271	291
270	291	290
290	291	311
290	311	310
310	311	331
310	331	330
330	331	351
330	351	350
350	351	371
350	371	370
370	371	391
370	391	390
390	391	411
390	411	410
11	12	32
11	32	31
31	32	52
31	52	51
51	52	72
51	72	71
71	72	92
71	92	91
91	92	112
91	112	111
111	112	132
111	132	131
131	132	152
131	152	151
151	152	172
151	172	171
171	172	192
171	192	191
191	192	212
191	212	211
211	212	232
211	232	231
231	232	252
231	252	251
251	252	272
251	272	271
271	272	292
271	292	291
291	292	312
291	312	311
311	312	332
311	332	331
331	332	352
331	352	351
351	352	372
351	372	371
371	372	392
371	392	391
391	392	412
391	412	411
12	13	33
12	33	32
32	33	53
32	53	52
52	53	73
52	73	72
72	73	93
72	93	92
92	93	113
92	113	112
112	113	133
112	133	132
132	133	153
132	153	152
152	153	173
152	173	172
172	173	193
172	193	192
192	193	213
192	213	212
212	213	233
212	233	232
232	233	253
232	253	252
252	253	273
252	273	272
272	273	293
272	293	292
292	293	313
292	313	312
312	313	333
312	333	332
332	333	353
332	353	352
352	353	373
352	373	372
372	373	393
372	393	392
392	393	413
392	413	412
13	14	34
13	34	33
33	34	54
33	54	53
53	54	74
53	74	73
73	74	94
73	94	93
93	94	114
93	114	113
113	114	134
113	134	133
133	134	154
133	154	153
153	154	174
153	174	173
173	174	194
173	194	193
193	194	214
193	214	213
213	214	234
213	234	233
233	234	254
233	254	253
253	254	274
253	274	273
273	274	294
273	294	293
293	294	314
293	314	313
313	314	334
313	334	333
333	334	354
333	354	353
353	354	374
353	374	373
373	374	394
373	394	393
393	394	414
393	414	413
14	15	35
14	35	34
34	35	55
34	55	54
54	55	75
54	75	74
74	75	95
74	95	94
94	95	115
94	115	114
114	115	135
114	135	134
134	135	155
134	155	154
154	155	175
154	175	174
174	175	195
174	195	194
194	195	215
194	215	214
214	215	235
214	235	234
234	235	255
234	255	254
254	255	275
254	275	274
274	275	295
274	295	294
294	295	315
294	315	314
314	315	335
314	335	334
334	335	355
334	355	354
354	355	375
354	375	374
374	375	395
374	395	394
394	395	415
394	415	414
15	16	36
15	36	35
35	36	56
35	56	55
55	56	76
55	76	75
75	76	96
75	96	95
